year,vehicle_class,MPG(comb),cylinders,displ (L),drive,trany
2000,Small Pickup Trucks,19,4.0,2.2,Rear-Wheel Drive,Automatic
2000,Sport Utility Vehicle,16,6.0,3.2,4-Wheel Drive,Automatic
2000,Large Cars,17,8.0,5.0,Rear-Wheel Drive,Automatic
2000,Small Station Wagons,19,6.0,2.8,Front-Wheel Drive,Automatic
2000,Large Cars,19,6.0,3.8,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,21,4.0,2.5,4-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,22,5.0,2.4,Front-Wheel Drive,Manual
2000,Midsize-Large Station Wagons,19,5.0,2.4,4-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,23,4.0,2.2,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,19,6.0,3.0,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,17,6.0,4.0,4-Wheel Drive,Manual
2000,Midsize-Large Station Wagons,20,4.0,2.3,Front-Wheel Drive,Manual
2000,Midsize-Large Station Wagons,19,4.0,2.3,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,16,6.0,4.0,4-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,20,4.0,2.3,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,20,6.0,3.2,4-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,20,6.0,3.2,Rear-Wheel Drive,Automatic
2000,Sport Utility Vehicle,16,6.0,4.0,4-Wheel Drive,Manual
2000,Midsize-Large Station Wagons,21,4.0,2.3,Front-Wheel Drive,Manual
2000,Sport Utility Vehicle,18,4.0,2.7,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,15,6.0,4.0,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,21,4.0,2.0,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,17,4.0,2.5,4-Wheel Drive,Manual
2000,Sport Utility Vehicle,15,8.0,4.7,4-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,20,5.0,2.3,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,20,5.0,2.4,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,18,6.0,2.8,4-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,21,5.0,2.4,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,21,4.0,2.0,4-Wheel Drive,Manual
2000,Midsize-Large Station Wagons,21,6.0,2.8,Front-Wheel Drive,Manual
2000,Midsize-Large Station Wagons,19,6.0,2.8,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,24,4.0,1.8,Front-Wheel Drive,Manual
2000,Midsize-Large Station Wagons,21,4.0,1.8,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,21,4.0,2.5,4-Wheel Drive,Manual
2000,Sport Utility Vehicle,13,6.0,4.7,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,16,6.0,4.0,4-Wheel Drive,Automatic
2000,Small Pickup Trucks,22,4.0,2.2,Rear-Wheel Drive,Manual
2000,Midsize-Large Station Wagons,19,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,18,6.0,3.0,4-Wheel Drive,Automatic
2000,Small Station Wagons,16,8.0,4.4,Rear-Wheel Drive,Automatic
2000,Small Station Wagons,19,6.0,2.8,Rear-Wheel Drive,Manual
2000,Small Station Wagons,19,6.0,2.8,Rear-Wheel Drive,Automatic
2000,Small Station Wagons,19,6.0,2.8,Rear-Wheel Drive,Automatic
2000,Small Station Wagons,21,6.0,2.5,Rear-Wheel Drive,Manual
2000,Small Station Wagons,19,6.0,2.5,Rear-Wheel Drive,Automatic
2000,Small Station Wagons,22,4.0,2.0,Front-Wheel Drive,Automatic
2000,Small Station Wagons,19,6.0,2.8,4-Wheel Drive,Manual
2000,Sport Utility Vehicle,16,6.0,3.4,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,16,6.0,3.4,4-Wheel Drive,Manual
2000,Small Station Wagons,22,4.0,1.8,4-Wheel Drive,Manual
2000,Small Station Wagons,20,4.0,1.8,4-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,21,5.0,2.3,Front-Wheel Drive,Manual
2000,Large Cars,22,6.0,3.0,Front-Wheel Drive,Automatic
2000,Small Station Wagons,18,6.0,2.8,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,17,4.0,2.7,4-Wheel Drive,Manual
2000,Small Station Wagons,23,4.0,2.0,Front-Wheel Drive,Manual
2000,Small Station Wagons,22,4.0,2.0,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,19,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,19,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,25,4.0,2.0,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,26,4.0,2.0,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,18,6.0,2.8,4-Wheel Drive,Automatic
2000,Small Station Wagons,21,4.0,1.9,Front-Wheel Drive,Automatic
2000,Small Station Wagons,26,4.0,1.8,Front-Wheel Drive,Manual
2000,Small Station Wagons,26,4.0,1.8,Front-Wheel Drive,Automatic
2000,Small Station Wagons,28,4.0,1.6,Front-Wheel Drive,Manual
2000,Small Station Wagons,26,4.0,1.6,Front-Wheel Drive,Automatic
2000,Small Station Wagons,27,4.0,1.9,Front-Wheel Drive,Manual
2000,Small Station Wagons,26,4.0,1.9,Front-Wheel Drive,Automatic
2000,Small Station Wagons,27,4.0,1.9,Front-Wheel Drive,Automatic
2000,Midsize-Large Station Wagons,18,5.0,2.4,4-Wheel Drive,Automatic
2000,Large Cars,20,6.0,3.8,Front-Wheel Drive,Automatic
2000,Small Station Wagons,24,4.0,2.0,Front-Wheel Drive,Manual
2000,Midsize Cars,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,2.8,Front-Wheel Drive,Manual
2000,Midsize Cars,18,6.0,2.8,4-Wheel Drive,Manual
2000,Midsize Cars,18,6.0,2.8,4-Wheel Drive,Automatic
2000,Midsize Cars,18,6.0,2.7,4-Wheel Drive,Manual
2000,Midsize Cars,18,6.0,2.7,4-Wheel Drive,Automatic
2000,Midsize Cars,18,6.0,2.8,Front-Wheel Drive,Automatic
2000,Midsize Cars,18,6.0,3.5,Front-Wheel Drive,Automatic
2000,Midsize Cars,18,8.0,4.2,4-Wheel Drive,Automatic
2000,Midsize Cars,20,6.0,3.2,Front-Wheel Drive,Automatic
2000,Compact Cars,20,5.0,2.4,Front-Wheel Drive,Automatic
2000,Compact Cars,21,5.0,2.3,Front-Wheel Drive,Manual
2000,Compact Cars,20,5.0,2.3,Front-Wheel Drive,Automatic
2000,Compact Cars,20,6.0,2.8,Front-Wheel Drive,Manual
2000,Compact Cars,19,6.0,2.8,Front-Wheel Drive,Automatic
2000,Compact Cars,24,4.0,2.0,Front-Wheel Drive,Manual
2000,Compact Cars,21,4.0,1.9,Front-Wheel Drive,Automatic
2000,Midsize Cars,18,8.0,4.2,4-Wheel Drive,Automatic
2000,Midsize Cars,12,8.0,4.4,Rear-Wheel Drive,Automatic
2000,Midsize Cars,12,8.0,6.7,Rear-Wheel Drive,Automatic
2000,Midsize Cars,20,6.0,2.5,Front-Wheel Drive,Automatic
2000,Midsize Cars,20,4.0,2.4,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.1,Front-Wheel Drive,Automatic
2000,Midsize Cars,23,4.0,2.4,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.8,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.4,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.1,Front-Wheel Drive,Automatic
2000,Midsize Cars,19,8.0,4.6,Front-Wheel Drive,Automatic
2000,Midsize Cars,19,8.0,4.6,Front-Wheel Drive,Automatic
2000,Midsize Cars,18,6.0,3.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,19,6.0,3.8,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.8,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.1,Front-Wheel Drive,Automatic
2000,Midsize Cars,16,8.0,4.4,Rear-Wheel Drive,Automatic
2000,Midsize Cars,18,8.0,4.4,Rear-Wheel Drive,Automatic
2000,Compact Cars,22,4.0,2.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,19,6.0,2.5,Front-Wheel Drive,Automatic
2000,Compact Cars,24,4.0,1.8,Front-Wheel Drive,Manual
2000,Compact Cars,21,6.0,2.8,Front-Wheel Drive,Manual
2000,Compact Cars,27,4.0,1.9,Front-Wheel Drive,Manual
2000,Compact Cars,29,4.0,1.9,Front-Wheel Drive,Manual
2000,Compact Cars,26,4.0,1.9,Front-Wheel Drive,Automatic
2000,Compact Cars,27,4.0,1.9,Front-Wheel Drive,Automatic
2000,Compact Cars,21,6.0,3.4,Front-Wheel Drive,Automatic
2000,Compact Cars,23,4.0,2.4,Front-Wheel Drive,Manual
2000,Compact Cars,21,4.0,2.5,4-Wheel Drive,Automatic
2000,Compact Cars,23,4.0,2.4,Front-Wheel Drive,Automatic
2000,Compact Cars,24,4.0,2.0,Front-Wheel Drive,Automatic
2000,Compact Cars,21,6.0,3.4,Front-Wheel Drive,Automatic
2000,Compact Cars,23,4.0,2.4,Front-Wheel Drive,Manual
2000,Compact Cars,23,4.0,2.4,Front-Wheel Drive,Automatic
2000,Compact Cars,24,4.0,2.0,Front-Wheel Drive,Manual
2000,Compact Cars,23,4.0,2.0,Front-Wheel Drive,Automatic
2000,Compact Cars,27,4.0,2.0,Front-Wheel Drive,Manual
2000,Compact Cars,21,4.0,2.5,4-Wheel Drive,Manual
2000,Compact Cars,23,4.0,2.2,Front-Wheel Drive,Automatic
2000,Compact Cars,24,4.0,2.2,Front-Wheel Drive,Manual
2000,Compact Cars,24,4.0,2.0,Front-Wheel Drive,Manual
2000,Compact Cars,22,4.0,2.0,Front-Wheel Drive,Automatic
2000,Compact Cars,24,4.0,1.8,Front-Wheel Drive,Manual
2000,Compact Cars,22,4.0,1.8,Front-Wheel Drive,Automatic
2000,Compact Cars,24,4.0,2.0,Front-Wheel Drive,Manual
2000,Compact Cars,22,4.0,2.0,Front-Wheel Drive,Automatic
2000,Compact Cars,24,4.0,1.8,Front-Wheel Drive,Manual
2000,Compact Cars,22,4.0,1.8,Front-Wheel Drive,Automatic
2000,Compact Cars,32,4.0,1.5,Front-Wheel Drive,Manual
2000,Compact Cars,30,4.0,1.5,Front-Wheel Drive,Automatic
2000,Compact Cars,30,4.0,1.8,Front-Wheel Drive,Manual
2000,Compact Cars,28,4.0,1.8,Front-Wheel Drive,Automatic
2000,Compact Cars,26,4.0,1.8,Front-Wheel Drive,Automatic
2000,Compact Cars,21,6.0,3.0,Front-Wheel Drive,Manual
2000,Compact Cars,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Compact Cars,22,4.0,1.8,Front-Wheel Drive,Automatic
2000,Midsize Cars,18,6.0,2.8,4-Wheel Drive,Automatic
2000,Midsize Cars,21,4.0,2.2,Front-Wheel Drive,Automatic
2000,Midsize Cars,22,4.0,2.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,20,4.0,2.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,19,6.0,3.8,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.8,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.1,Front-Wheel Drive,Automatic
2000,Midsize Cars,20,4.0,2.4,Front-Wheel Drive,Automatic
2000,Midsize Cars,27,4.0,2.0,Front-Wheel Drive,Manual
2000,Midsize Cars,20,4.0,2.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,22,4.0,2.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.0,Front-Wheel Drive,Manual
2000,Midsize Cars,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,21,4.0,2.0,4-Wheel Drive,Automatic
2000,Midsize Cars,21,4.0,2.4,Front-Wheel Drive,Automatic
2000,Midsize Cars,18,6.0,3.5,Front-Wheel Drive,Automatic
2000,Midsize Cars,17,8.0,5.5,Rear-Wheel Drive,Automatic
2000,Midsize Cars,20,6.0,3.5,Front-Wheel Drive,Automatic
2000,Midsize Cars,22,4.0,2.0,Front-Wheel Drive,Manual
2000,Midsize Cars,22,4.0,2.0,Front-Wheel Drive,Manual
2000,Midsize Cars,21,4.0,2.3,Front-Wheel Drive,Manual
2000,Midsize Cars,19,6.0,2.8,Front-Wheel Drive,Automatic
2000,Midsize Cars,24,4.0,1.8,Front-Wheel Drive,Manual
2000,Midsize Cars,21,4.0,1.8,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.0,Front-Wheel Drive,Manual
2000,Midsize Cars,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,24,4.0,2.2,Front-Wheel Drive,Manual
2000,Midsize Cars,23,4.0,2.2,Front-Wheel Drive,Automatic
2000,Midsize Cars,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,24,4.0,2.2,Front-Wheel Drive,Manual
2000,Midsize Cars,23,4.0,2.2,Front-Wheel Drive,Automatic
2000,Midsize Cars,19,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,20,4.0,2.3,Front-Wheel Drive,Manual
2000,Midsize Cars,21,4.0,2.3,Front-Wheel Drive,Manual
2000,Midsize Cars,19,4.0,2.3,Front-Wheel Drive,Automatic
2000,Midsize Cars,20,4.0,2.3,Front-Wheel Drive,Automatic
2000,Midsize Cars,18,8.0,4.3,4-Wheel Drive,Automatic
2000,Midsize Cars,21,4.0,2.2,Front-Wheel Drive,Manual
2000,Midsize Cars,18,8.0,4.3,Rear-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.2,Rear-Wheel Drive,Automatic
2000,Midsize Cars,18,8.0,4.1,Rear-Wheel Drive,Automatic
2000,Midsize Cars,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,2.5,Front-Wheel Drive,Manual
2000,Midsize Cars,20,6.0,2.5,Front-Wheel Drive,Automatic
2000,Midsize Cars,22,4.0,2.4,Front-Wheel Drive,Manual
2000,Midsize Cars,21,4.0,2.4,Front-Wheel Drive,Automatic
2000,Midsize Cars,18,8.0,4.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,24,4.0,2.3,Front-Wheel Drive,Manual
2000,Midsize Cars,22,4.0,2.3,Front-Wheel Drive,Automatic
2000,Midsize Cars,23,4.0,2.3,Front-Wheel Drive,Automatic
2000,Midsize Cars,19,6.0,2.5,Front-Wheel Drive,Automatic
2000,Midsize Cars,20,6.0,2.5,Front-Wheel Drive,Automatic
2000,Midsize Cars,20,4.0,2.4,Front-Wheel Drive,Automatic
2000,Midsize Cars,23,4.0,2.3,Front-Wheel Drive,Manual
2000,Midsize Cars,16,8.0,4.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,19,6.0,3.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,17,8.0,4.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,2.5,Front-Wheel Drive,Manual
2000,Midsize Cars,20,6.0,2.5,Front-Wheel Drive,Automatic
2000,Midsize Cars,25,4.0,2.0,Front-Wheel Drive,Manual
2000,Midsize Cars,22,4.0,2.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Midsize Cars,17,8.0,3.9,Rear-Wheel Drive,Automatic
2000,Midsize Cars,17,8.0,3.9,Rear-Wheel Drive,Automatic
2000,Midsize Cars,18,6.0,3.0,Rear-Wheel Drive,Manual
2000,Midsize Cars,18,6.0,3.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,18,6.0,3.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,19,8.0,4.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,18,8.0,4.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,19,6.0,3.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,18,8.0,4.0,Rear-Wheel Drive,Automatic
2000,Midsize Cars,21,6.0,3.2,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,13,8.0,5.3,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,15,8.0,5.0,Rear-Wheel Drive,Automatic
2000,Sport Utility Vehicle,16,6.0,3.2,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,15,6.0,3.3,4-Wheel Drive,Automatic
2000,Vans,15,8.0,4.6,Rear-Wheel Drive,Automatic
2000,Vans,15,8.0,5.4,Rear-Wheel Drive,Automatic
2000,Vans,14,6.0,4.2,Rear-Wheel Drive,Automatic
2000,Vans,13,8.0,5.4,Rear-Wheel Drive,Automatic
2000,Vans,15,6.0,4.3,Rear-Wheel Drive,Automatic
2000,Vans,14,6.0,4.2,Rear-Wheel Drive,Automatic
2000,Vans,15,8.0,5.0,Rear-Wheel Drive,Automatic
2000,Vans,17,6.0,4.3,Rear-Wheel Drive,Automatic
2000,Vans,16,6.0,4.3,4-Wheel Drive,Automatic
2000,Vans,16,6.0,4.3,Rear-Wheel Drive,Automatic
2000,Standard Pickup Trucks,15,6.0,3.9,Rear-Wheel Drive,Manual
2000,Standard Pickup Trucks,16,6.0,3.9,Rear-Wheel Drive,Automatic
2000,Sport Utility Vehicle,15,6.0,3.3,4-Wheel Drive,Manual
2000,Vans,14,8.0,5.7,Rear-Wheel Drive,Automatic
2000,Vans,15,6.0,4.3,4-Wheel Drive,Automatic
2000,Vans,13,8.0,5.9,Rear-Wheel Drive,Automatic
2000,Vans,13,8.0,5.9,Rear-Wheel Drive,Automatic
2000,Standard Pickup Trucks,16,6.0,3.4,4-Wheel Drive,Manual
2000,Standard Pickup Trucks,14,8.0,5.2,Rear-Wheel Drive,Manual
2000,Standard Pickup Trucks,15,6.0,3.4,4-Wheel Drive,Automatic
2000,Standard Pickup Trucks,15,6.0,3.4,4-Wheel Drive,Manual
2000,Standard Pickup Trucks,14,8.0,4.7,4-Wheel Drive,Automatic
2000,Vans,17,6.0,4.3,Rear-Wheel Drive,Automatic
2000,Vans,14,8.0,5.2,Rear-Wheel Drive,Automatic
2000,Vans,16,6.0,4.3,4-Wheel Drive,Automatic
2000,Vans,15,6.0,4.3,Rear-Wheel Drive,Automatic
2000,Vans,15,8.0,5.0,Rear-Wheel Drive,Automatic
2000,Standard Pickup Trucks,14,8.0,5.2,Rear-Wheel Drive,Automatic
2000,Vans,14,8.0,5.7,Rear-Wheel Drive,Automatic
2000,Vans,14,6.0,3.9,Rear-Wheel Drive,Automatic
2000,Vans,14,8.0,5.2,Rear-Wheel Drive,Automatic
2000,Sport Utility Vehicle,15,6.0,3.3,4-Wheel Drive,Manual
2000,Standard Pickup Trucks,16,6.0,3.4,4-Wheel Drive,Automatic
2000,Vans,14,6.0,4.3,Rear-Wheel Drive,Automatic
2000,Vans,14,8.0,5.7,Rear-Wheel Drive,Automatic
2000,Minivan,18,6.0,3.8,Front-Wheel Drive,Automatic
2000,Minivan,20,4.0,2.4,Front-Wheel Drive,Automatic
2000,Minivan,19,6.0,3.0,Front-Wheel Drive,Automatic
2000,Minivan,19,6.0,3.3,Front-Wheel Drive,Automatic
2000,Minivan,18,6.0,3.8,Front-Wheel Drive,Automatic
2000,Minivan,18,6.0,3.8,Front-Wheel Drive,Automatic
2000,Minivan,18,6.0,3.3,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,15,6.0,3.3,4-Wheel Drive,Automatic
2000,Standard Pickup Trucks,21,4.0,2.4,Rear-Wheel Drive,Manual
2000,Standard Pickup Trucks,16,6.0,3.4,Rear-Wheel Drive,Manual
2000,Standard Pickup Trucks,15,8.0,4.7,Rear-Wheel Drive,Automatic
2000,Minivan,18,6.0,3.8,Front-Wheel Drive,Automatic
2000,Standard Pickup Trucks,17,6.0,3.9,Rear-Wheel Drive,Manual
2000,Standard Pickup Trucks,18,4.0,2.7,Rear-Wheel Drive,Automatic
2000,Minivan,17,6.0,3.0,Front-Wheel Drive,Automatic
2000,Vans,14,8.0,5.0,Rear-Wheel Drive,Automatic
2000,Minivan,19,6.0,3.4,Front-Wheel Drive,Automatic
2000,Standard Pickup Trucks,15,8.0,4.7,Rear-Wheel Drive,Manual
2000,Vans,14,6.0,3.9,Rear-Wheel Drive,Automatic
2000,Vans,14,8.0,5.2,Rear-Wheel Drive,Automatic
2000,Vans,12,8.0,5.2,Rear-Wheel Drive,Automatic
2000,Vans,13,8.0,5.9,Rear-Wheel Drive,Automatic
2000,Standard Pickup Trucks,13,8.0,5.9,Rear-Wheel Drive,Automatic
2000,Vans,14,6.0,4.2,Rear-Wheel Drive,Automatic
2000,Minivan,14,6.0,2.8,Front-Wheel Drive,Automatic
2000,Vans,15,8.0,4.6,Rear-Wheel Drive,Automatic
2000,Vans,14,6.0,4.3,Rear-Wheel Drive,Automatic
2000,Vans,14,8.0,5.0,Rear-Wheel Drive,Automatic
2000,Vans,14,8.0,5.7,Rear-Wheel Drive,Automatic
2000,Vans,16,6.0,4.3,Rear-Wheel Drive,Automatic
2000,Vans,15,6.0,4.3,4-Wheel Drive,Automatic
2000,Minivan,15,6.0,4.0,Rear-Wheel Drive,Automatic
2000,Vans,13,8.0,5.4,Rear-Wheel Drive,Automatic
2000,Minivan,17,6.0,3.0,Front-Wheel Drive,Automatic
2000,Standard Pickup Trucks,17,4.0,2.7,4-Wheel Drive,Manual
2000,Sport Utility Vehicle,16,6.0,4.3,4-Wheel Drive,Automatic
2000,Standard Pickup Trucks,18,6.0,4.3,Rear-Wheel Drive,Manual
2000,Standard Pickup Trucks,14,8.0,4.6,4-Wheel Drive,Automatic
2000,Standard Pickup Trucks,17,6.0,4.3,4-Wheel Drive,Manual
2000,Standard Pickup Trucks,16,6.0,4.0,Rear-Wheel Drive,Automatic
2000,Standard Pickup Trucks,16,6.0,4.3,Rear-Wheel Drive,Automatic
2000,Standard Pickup Trucks,14,8.0,4.6,4-Wheel Drive,Manual
2000,Standard Pickup Trucks,22,4.0,2.5,Rear-Wheel Drive,Manual
2000,Standard Pickup Trucks,16,6.0,4.3,4-Wheel Drive,Automatic
2000,Standard Pickup Trucks,14,8.0,5.4,4-Wheel Drive,Automatic
2000,Standard Pickup Trucks,18,6.0,4.0,Rear-Wheel Drive,Manual
2000,Standard Pickup Trucks,14,8.0,5.3,4-Wheel Drive,Automatic
